Current time milliseconds;Mapping Variant;Number of data copies;Jena Fuseki connection establishment;Loading shacl schema files;Loading data files;Fetching shacl schema;Creating KnowledgeGraphClasses and KnowledgeGraphProperties;Creating facts file;Consult Program;Invoke run/0 in Prolog;Invoke save/0 in Prolog;Load saved results to Fuseki;Execution time in milliseconds
1631792342267;C;1;1176;3094;51;2674;161;151;840;0;85;8247
1631792352648;C;10;1192;3169;777;3363;91;70;586;0;85;9348
1631792369440;C;100;1183;2934;4045;5981;91;78;936;69;116;15448
1631792390997;C;200;1564;3050;6291;7367;90;81;1771;138;100;20452
1631792418628;C;300;1130;3561;8860;9776;99;70;2415;217;207;26350
1631792488418;C;1000;1212;2836;25156;23444;69;94;14128;1141;232;68327
1631896344312;C;1;983;3030;126;3434;208;62;989;5;131;16;8984
1632039468465;C;1;4416;1749;53;2891;133;75;631;5;70;13;10036
1632039480058;C;10;3918;1717;452;3272;105;92;649;9;75;15;10304
1632039497131;C;100;3940;1746;2978;5559;144;84;1179;72;89;11;15802
1632039519419;C;200;3919;1856;5819;7236;109;90;1647;152;100;23;20951
1632039547067;C;300;3853;1749;7654;9968;86;71;2517;215;116;12;26241
1632039624261;C;1000;3939;1680;26494;28338;101;79;13636;1112;234;24;75637
